;eval_features0;eval_features4;eval_features8;eval_features11;eval_features15;eval_features18;eval_features22;eval_features25;eval_classifier2;eval_classifier6;train_features0;train_features4;train_features8;train_features11;train_features15;train_features18;train_features22;train_features25;train_classifier2;train_classifier6;train_accuracy;test_accuracy;train_loss;test_loss;epoch;time_per_step
0;25.0;0.0;6.25;6.25;3.12;3.12;3.12;3.12;6.25;10.0;50.0;37.5;43.75;50.0;28.12;31.25;34.38;31.25;31.25;10.0;0.25938;0.3406;0.015137900295257568;0.013545883095264435;0;0.00041518743515014646
1;25.0;12.5;25.0;25.0;12.5;12.5;12.5;9.38;18.75;20.0;75.0;62.5;56.25;62.5;46.88;50.0;56.25;50.0;43.75;30.0;0.36822;0.4084;0.01304862270116806;0.012280566322803497;1;0.0004249443054199219
2;50.0;37.5;25.0;25.0;15.62;15.62;15.62;15.62;18.75;30.0;75.0;62.5;62.5;68.75;56.25;59.38;62.5;53.12;37.5;30.0;0.41938;0.4598;0.012211738278865814;0.011504231452941894;2;0.0004265041351318359
3;50.0;50.0;37.5;37.5;21.88;21.88;25.0;18.75;25.0;30.0;75.0;62.5;68.75;68.75;62.5;62.5;65.62;53.12;43.75;30.0;0.45178;0.4996;0.011663541352748871;0.010659696304798126;3;0.000433101806640625
4;50.0;50.0;43.75;43.75;31.25;31.25;34.38;21.88;25.0;30.0;75.0;75.0;68.75;75.0;65.62;65.62;68.75;53.12;43.75;30.0;0.47972;0.512;0.011268439755439758;0.010533189988136292;4;0.0004310862016677856
5;50.0;50.0;50.0;56.25;34.38;34.38;37.5;28.12;31.25;30.0;75.0;75.0;68.75;68.75;68.75;68.75;68.75;56.25;43.75;30.0;0.49494;0.536;0.010963019390106202;0.010075985550880432;5;0.00043604102611541747
6;50.0;50.0;43.75;50.0;37.5;37.5;40.62;31.25;31.25;30.0;75.0;75.0;68.75;75.0;71.88;71.88;71.88;56.25;43.75;30.0;0.51104;0.5496;0.010663920879364014;0.009810709869861602;6;0.00043895984649658203
7;50.0;50.0;50.0;50.0;43.75;43.75;43.75;31.25;31.25;30.0;75.0;75.0;68.75;75.0;75.0;75.0;75.0;59.38;43.75;30.0;0.52194;0.5469;0.010443893747329711;0.009804775738716125;7;0.0004480121898651123
8;50.0;62.5;50.0;56.25;46.88;43.75;43.75;34.38;37.5;30.0;75.0;75.0;68.75;75.0;75.0;75.0;75.0;59.38;43.75;40.0;0.5325;0.5591;0.010302802367210389;0.009600414490699769;8;0.00045637425899505615
9;50.0;62.5;50.0;56.25;50.0;46.88;46.88;34.38;37.5;30.0;75.0;75.0;68.75;75.0;75.0;75.0;75.0;59.38;43.75;40.0;0.54104;0.5675;0.010117186224460601;0.009461402499675751;9;0.0004604729747772217
10;50.0;62.5;56.25;62.5;56.25;50.0;53.12;40.62;37.5;30.0;75.0;75.0;75.0;75.0;78.12;75.0;75.0;56.25;43.75;40.0;0.54986;0.5835;0.009950258214473724;0.009080705541372299;10;0.0004557959842681885
11;50.0;62.5;56.25;62.5;56.25;53.12;53.12;40.62;37.5;30.0;75.0;75.0;75.0;75.0;78.12;78.12;75.0;56.25;43.75;40.0;0.55686;0.5859;0.009781743284463882;0.009022582513093949;11;0.000465930757522583
12;50.0;62.5;56.25;62.5;59.38;53.12;53.12;43.75;37.5;30.0;75.0;75.0;75.0;75.0;78.12;78.12;75.0;59.38;43.75;40.0;0.5646;0.5957;0.009673820987939834;0.008922307002544403;12;0.00046775090217590333
13;50.0;62.5;56.25;62.5;62.5;56.25;53.12;40.62;37.5;40.0;75.0;75.0;75.0;75.0;78.12;78.12;75.0;59.38;43.75;40.0;0.56878;0.6017;0.009594711910486222;0.008721638226509095;13;0.00047993967056274414
14;50.0;62.5;56.25;68.75;62.5;56.25;53.12;43.75;37.5;40.0;75.0;75.0;75.0;75.0;81.25;78.12;75.0;59.38;50.0;40.0;0.57424;0.5868;0.009498976018428803;0.009114927160739899;14;0.00048748433589935303
15;50.0;62.5;56.25;68.75;62.5;56.25;56.25;43.75;37.5;40.0;50.0;62.5;75.0;75.0;81.25;78.12;75.0;59.38;50.0;40.0;0.58038;0.593;0.00935318846821785;0.00891552032828331;15;0.0004963176918029785
16;50.0;62.5;62.5;68.75;65.62;59.38;59.38;43.75;43.75;40.0;50.0;62.5;68.75;75.0;81.25;78.12;75.0;59.38;50.0;40.0;0.58684;0.6097;0.009285827040672302;0.008564868396520615;16;0.0004752079153060913
17;50.0;62.5;62.5;68.75;65.62;62.5;59.38;43.75;43.75;40.0;50.0;62.5;75.0;75.0;78.12;78.12;75.0;62.5;50.0;40.0;0.58772;0.6168;0.009231436840295792;0.008477588093280792;17;0.0004839359617233276
18;50.0;62.5;62.5;68.75;65.62;62.5;59.38;46.88;43.75;40.0;50.0;62.5;68.75;75.0;78.12;78.12;75.0;62.5;50.0;40.0;0.58906;0.6253;0.009144468290805816;0.008326812463998795;18;0.000477767448425293
19;50.0;62.5;62.5;68.75;68.75;65.62;62.5;46.88;43.75;40.0;50.0;62.5;75.0;75.0;78.12;78.12;75.0;65.62;43.75;40.0;0.59726;0.6303;0.009043486586809158;0.008284282279014588;19;0.0004949619626998901
20;50.0;62.5;62.5;68.75;68.75;65.62;62.5;46.88;43.75;40.0;50.0;62.5;75.0;75.0;78.12;78.12;78.12;65.62;43.75;50.0;0.60402;0.6288;0.008976143237352371;0.00822241576910019;20;0.0004882840633392335
