;eval_features0;eval_features3;eval_features7;eval_features10;eval_features14;eval_features17;eval_features21;eval_features24;eval_features28;eval_features31;eval_classifier2;eval_classifier6;train_features0;train_features3;train_features7;train_features10;train_features14;train_features17;train_features21;train_features24;train_features28;train_features31;train_classifier2;train_classifier6;train_accuracy;test_accuracy;train_loss;test_loss;epoch;time_per_step
0;1.56;1.56;0.78;0.78;0.39;0.39;0.2;0.2;0.2;0.2;0.39;10.0;9.38;17.19;8.59;9.38;4.69;4.69;2.15;2.15;1.95;1.76;3.52;40.0;0.51318;0.5623;0.010441099874973298;0.009973911666870117;0;0.0008427976655960083
1;3.12;6.25;3.12;3.12;1.56;1.56;0.78;0.78;0.78;0.59;1.56;30.0;18.75;29.69;15.62;17.19;8.98;9.38;4.49;4.3;3.71;3.12;5.86;50.0;0.68986;0.6683;0.0069026167607307435;0.007696367901563644;1;0.0009520910739898681
2;4.69;7.81;3.91;3.91;2.34;2.34;1.17;0.98;0.98;0.98;1.56;30.0;26.56;37.5;21.88;21.88;13.28;12.89;6.45;5.86;4.3;4.1;7.81;60.0;0.75456;0.7602;0.005525311409831047;0.005589667269587517;2;0.0010629599285125733
3;6.25;10.94;6.25;6.25;3.12;3.12;1.56;1.56;1.37;1.17;2.34;50.0;32.81;45.31;26.56;27.34;16.41;16.41;8.2;7.62;4.88;4.69;8.98;70.0;0.79512;0.7716;0.0047009699159860615;0.005113227015733719;3;0.0011652676391601562
4;7.81;14.06;7.81;8.59;4.3;4.69;2.34;2.15;1.76;1.76;3.52;60.0;37.5;48.44;31.25;31.25;18.75;19.14;9.77;8.98;5.27;5.08;9.77;70.0;0.81906;0.8273;0.004137821453809738;0.004049864244461059;4;0.0011925577402114868
5;9.38;17.19;9.38;10.16;5.47;5.86;2.73;2.54;2.15;1.95;3.91;60.0;40.62;51.56;34.38;35.16;21.09;21.88;11.13;9.96;5.47;5.66;10.16;70.0;0.83876;0.8269;0.0037078647673130035;0.003962881243228912;5;0.0012257287454605103
6;10.94;17.19;10.16;10.94;5.86;6.25;2.93;2.93;2.34;2.34;4.3;70.0;43.75;53.12;38.28;37.5;23.83;24.22;12.7;11.13;5.66;5.86;10.94;70.0;0.85266;0.8395;0.003366554545760155;0.0037431259214878083;6;0.00128028226852417
7;12.5;18.75;11.72;12.5;6.64;7.42;3.32;3.32;2.73;2.54;4.69;70.0;45.31;54.69;41.41;41.41;26.56;26.95;14.26;12.7;6.25;6.25;11.72;70.0;0.86676;0.8507;0.0030650002652406693;0.003412787914276123;7;0.00145832914352417
8;14.06;18.75;12.5;13.28;7.42;7.81;3.71;3.52;2.73;2.73;4.69;70.0;48.44;56.25;44.53;43.75;28.91;28.91;16.02;14.06;6.45;6.45;12.11;70.0;0.877;0.8451;0.0028081500005722048;0.003653058597445488;8;0.0015529404735565185
9;15.62;20.31;13.28;14.84;8.2;8.59;4.1;3.91;2.93;2.93;5.08;70.0;50.0;56.25;46.88;45.31;31.25;31.25;17.38;15.23;6.84;6.64;12.89;70.0;0.88638;0.8681;0.0026161343333125113;0.003172510561347008;9;0.001665538821220398
10;17.19;23.44;14.84;16.41;9.38;10.16;4.88;4.69;3.12;2.93;5.86;70.0;51.56;57.81;49.22;47.66;33.2;32.81;18.55;16.41;7.23;7.03;13.28;70.0;0.89686;0.8732;0.00237297433167696;0.0030728206619620325;10;0.0015818762159347534
11;18.75;25.0;16.41;17.97;10.16;10.94;5.27;4.88;3.32;3.12;5.86;70.0;53.12;57.81;51.56;49.22;35.16;33.98;19.73;17.38;7.42;7.42;13.67;70.0;0.90088;0.8694;0.0022800273391604424;0.003093713244795799;11;0.0016377173233032226
