;eval_features0;eval_features3;eval_features7;eval_features10;eval_features14;eval_features17;eval_features20;eval_features23;eval_features27;eval_features30;eval_features33;eval_features36;eval_features40;eval_features43;eval_features46;eval_features49;eval_classifier2;eval_classifier6;train_features0;train_features3;train_features7;train_features10;train_features14;train_features17;train_features20;train_features23;train_features27;train_features30;train_features33;train_features36;train_features40;train_features43;train_features46;train_features49;train_classifier2;train_classifier6;train_accuracy;test_accuracy;train_loss;test_loss;epoch;time_per_step
0;1.56;1.56;0.78;0.78;0.39;0.39;0.39;0.39;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.39;10.0;9.38;15.62;8.59;9.38;4.69;4.69;4.3;3.52;1.56;1.17;1.17;1.17;1.17;0.98;0.98;1.17;1.56;30.0;0.37286;0.4433;0.012633919649124145;0.011879257476329803;0;0.001227510404586792
1;3.12;4.69;3.12;3.12;1.56;1.56;1.56;1.17;0.59;0.59;0.39;0.39;0.39;0.39;0.39;0.39;0.39;20.0;20.31;29.69;17.19;17.19;8.98;8.59;7.81;6.64;3.12;2.34;1.95;2.15;2.15;1.76;1.56;1.95;2.73;30.0;0.54838;0.5723;0.00977052386045456;0.009716721892356872;1;0.0013232888507843017
2;4.69;6.25;3.91;3.91;1.95;1.95;1.95;1.56;0.78;0.78;0.59;0.39;0.59;0.59;0.39;0.59;0.39;30.0;26.56;37.5;22.66;22.66;12.11;11.72;10.94;8.98;4.3;2.73;2.34;2.54;2.73;2.34;1.56;2.54;3.12;40.0;0.63774;0.6687;0.008133704739809035;0.007689029932022095;2;0.0014654157495498658
3;6.25;10.94;5.47;6.25;3.12;3.12;2.73;2.34;1.17;0.98;0.78;0.59;0.78;0.59;0.59;0.78;0.39;30.0;34.38;43.75;27.34;27.34;14.84;14.06;12.5;10.55;4.69;3.12;2.73;2.73;2.93;2.54;1.37;2.93;2.73;40.0;0.68524;0.6857;0.007212274839878082;0.007297162187099457;3;0.0015996563291549683
4;7.81;14.06;7.81;7.81;4.3;4.3;4.3;3.52;1.56;1.17;1.17;0.98;0.98;0.78;0.59;0.98;1.17;40.0;39.06;46.88;31.25;30.47;17.19;16.02;14.06;11.72;5.47;3.52;2.93;2.93;3.32;3.12;1.56;3.32;3.12;40.0;0.715;0.7055;0.006594824773073197;0.006799730318784713;4;0.0016146260166168213
5;9.38;15.62;9.38;9.38;5.08;5.08;5.08;4.3;1.76;1.37;1.37;1.17;0.98;0.98;0.59;1.17;1.17;30.0;42.19;48.44;34.38;32.81;19.53;17.19;15.62;12.89;5.66;3.71;3.32;3.12;3.12;3.12;1.56;3.52;3.12;40.0;0.75396;0.7653;0.0057658836829662325;0.0056142154693603515;5;0.0017126344108581543
6;10.94;17.19;10.16;10.16;5.86;5.86;5.47;4.69;2.15;1.56;1.37;1.37;1.17;1.17;0.98;1.37;1.56;40.0;45.31;51.56;37.5;35.94;22.27;19.14;16.8;14.06;6.05;3.91;3.71;3.32;2.73;2.73;1.76;3.52;3.52;40.0;0.78456;0.7441;0.005069270424246788;0.006119836592674255;6;0.001810706901550293
7;12.5;18.75;11.72;11.72;6.25;6.64;6.25;5.08;2.34;1.76;1.76;1.56;1.17;1.17;0.98;1.37;1.95;40.0;48.44;51.56;40.62;39.06;24.61;20.7;18.36;15.23;6.84;4.49;4.1;3.32;2.54;2.34;1.76;3.52;3.91;50.0;0.81284;0.8017;0.004509032050967216;0.004890349638462067;7;0.0020232132768630983
8;14.06;18.75;11.72;13.28;7.03;7.03;6.64;5.47;2.34;1.95;1.95;1.76;1.17;1.17;0.98;1.56;2.34;40.0;50.0;53.12;43.75;41.41;26.95;22.27;19.92;16.02;7.03;4.69;4.49;3.32;2.54;1.95;1.76;3.52;3.91;50.0;0.82612;0.8043;0.004181645832061768;0.004827508535981178;8;0.00211642448425293
9;15.62;20.31;13.28;14.84;7.81;7.81;7.42;6.25;2.73;2.15;1.95;1.76;1.17;1.17;0.98;1.76;2.34;40.0;51.56;54.69;46.88;42.97;28.91;23.44;21.09;16.8;7.62;4.88;4.49;3.32;2.15;1.76;1.76;3.52;3.91;50.0;0.84066;0.8053;0.0038374837329983712;0.004907382795214653;9;0.0022614735174179075
