;eval_features0;eval_features3;eval_features7;eval_features10;eval_features14;eval_features17;eval_features20;eval_features23;eval_features27;eval_features30;eval_features33;eval_features36;eval_features40;eval_features43;eval_features46;eval_features49;eval_classifier2;eval_classifier6;train_features0;train_features3;train_features7;train_features10;train_features14;train_features17;train_features20;train_features23;train_features27;train_features30;train_features33;train_features36;train_features40;train_features43;train_features46;train_features49;train_classifier2;train_classifier6;train_accuracy;test_accuracy;train_loss;test_loss;epoch;time_per_step
0;25.0;25.0;12.5;12.5;6.25;6.25;6.25;6.25;3.12;3.12;3.12;3.12;3.12;3.12;3.12;3.12;6.25;10.0;50.0;50.0;62.5;62.5;50.0;50.0;43.75;37.5;31.25;31.25;28.12;28.12;31.25;28.12;25.0;21.88;25.0;10.0;0.23236;0.2937;0.015571093609333038;0.013992688620090484;0;0.0006837795305252076
1;25.0;50.0;37.5;37.5;18.75;18.75;18.75;18.75;9.38;9.38;9.38;6.25;9.38;9.38;6.25;6.25;6.25;10.0;75.0;50.0;62.5;62.5;62.5;62.5;56.25;50.0;43.75;40.62;40.62;37.5;43.75;40.62;31.25;28.12;31.25;10.0;0.30626;0.3319;0.013583879704475403;0.013170811581611633;1;0.0006747970008850097
2;25.0;50.0;37.5;50.0;25.0;18.75;25.0;18.75;12.5;12.5;12.5;12.5;12.5;12.5;9.38;9.38;6.25;10.0;75.0;50.0;75.0;62.5;62.5;62.5;62.5;50.0;50.0;50.0;43.75;43.75;50.0;46.88;37.5;34.38;25.0;10.0;0.3362;0.3722;0.013144612047672272;0.012658233428001403;2;0.0006706189298629761
3;50.0;75.0;50.0;50.0;31.25;37.5;31.25;31.25;18.75;18.75;15.62;15.62;15.62;15.62;9.38;12.5;12.5;10.0;75.0;75.0;75.0;62.5;68.75;68.75;68.75;56.25;56.25;53.12;50.0;50.0;53.12;50.0;37.5;37.5;25.0;10.0;0.36332;0.3856;0.012827968533039092;0.012380243563652039;3;0.0007340162420272828
4;50.0;75.0;50.0;62.5;37.5;43.75;43.75;37.5;25.0;25.0;21.88;21.88;21.88;18.75;15.62;15.62;18.75;10.0;75.0;75.0;75.0;75.0;75.0;68.75;68.75;56.25;59.38;59.38;53.12;53.12;56.25;50.0;40.62;37.5;31.25;10.0;0.3906;0.429;0.012501526412963867;0.011894609475135803;4;0.0007085293197631835
5;75.0;75.0;62.5;62.5;43.75;50.0;50.0;43.75;28.12;31.25;28.12;25.0;25.0;21.88;18.75;15.62;25.0;20.0;75.0;75.0;75.0;75.0;75.0;68.75;68.75;62.5;62.5;59.38;56.25;56.25;59.38;53.12;43.75;37.5;31.25;10.0;0.41566;0.4443;0.01208455730676651;0.011495324897766113;5;0.0007169073820114135
6;50.0;75.0;62.5;62.5;50.0;50.0;50.0;43.75;31.25;34.38;28.12;28.12;28.12;25.0;18.75;18.75;25.0;20.0;75.0;75.0;75.0;75.0;75.0;75.0;68.75;62.5;65.62;62.5;59.38;59.38;59.38;53.12;46.88;37.5;37.5;20.0;0.4406;0.4513;0.011747396082878113;0.011487600016593933;6;0.0007306252193450928
7;50.0;75.0;62.5;75.0;50.0;50.0;50.0;50.0;34.38;37.5;31.25;31.25;31.25;25.0;21.88;18.75;25.0;20.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;68.75;68.75;65.62;62.5;62.5;59.38;53.12;46.88;37.5;37.5;20.0;0.46148;0.4429;0.011415291130542755;0.01180841442346573;7;0.000715683183670044
8;75.0;75.0;62.5;75.0;50.0;56.25;56.25;50.0;37.5;37.5;34.38;31.25;34.38;25.0;21.88;18.75;25.0;20.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;68.75;68.75;68.75;65.62;62.5;59.38;50.0;46.88;37.5;37.5;20.0;0.47492;0.5014;0.011234046387672425;0.01073588923215866;8;0.0007585583114624023
9;75.0;75.0;62.5;75.0;56.25;56.25;56.25;50.0;40.62;43.75;37.5;34.38;34.38;28.12;25.0;21.88;25.0;20.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;68.75;68.75;65.62;65.62;59.38;50.0;43.75;37.5;37.5;20.0;0.49208;0.5194;0.010938122129440307;0.010356459295749664;9;0.0007982767486572266
10;75.0;75.0;62.5;75.0;56.25;62.5;62.5;56.25;46.88;46.88;40.62;37.5;37.5;28.12;28.12;21.88;31.25;20.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;71.88;71.88;65.62;65.62;62.5;50.0;46.88;37.5;37.5;20.0;0.50798;0.5241;0.010754694180488586;0.01044026300907135;10;0.000808183856010437
11;75.0;75.0;62.5;75.0;56.25;62.5;62.5;56.25;46.88;50.0;43.75;40.62;37.5;31.25;25.0;25.0;31.25;20.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;71.88;71.88;68.75;65.62;62.5;50.0;43.75;37.5;37.5;20.0;0.52162;0.5281;0.010554708025455476;0.010549809038639068;11;0.0007939230012893677
12;75.0;75.0;62.5;75.0;56.25;62.5;62.5;56.25;50.0;50.0;46.88;43.75;40.62;31.25;28.12;25.0;25.0;20.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;71.88;71.88;68.75;68.75;62.5;50.0;43.75;37.5;37.5;30.0;0.5335;0.5544;0.010362193217277526;0.009844405949115754;12;0.0007202671575546265
