;accs;dataset;featurespace_dimension;intrinsic_dimensions;loss;model;sat_avg;thresh
0;0.8037;Cifar10;3008;903;0.004973774886131287;VGG11;30.316844444444445;0.99
1;0.8856;Cifar10;3008;1660;0.003132304608821869;VGG11;57.09635555555556;0.999
2;0.8861;Cifar10;3008;3008;0.0031224886894226076;VGG11;100.0;100.0
3;0.8032;Cifar10;1500;636;0.004582399639487266;VGG11_S;43.623222222222225;0.99
4;0.8571;Cifar10;1500;976;0.0036730873867869378;VGG11_S;68.24502222222222;0.999
5;0.8554;Cifar10;1500;1500;0.003709536522626877;VGG11_S;100.0;100.0
6;0.7753;Cifar10;752;395;0.005234509494900704;VGG11_XS;55.55554444444445;0.99
7;0.8375;Cifar10;752;571;0.0038533299207687377;VGG11_XS;78.2118111111111;0.999
8;0.8384;Cifar10;752;752;0.003863055381178856;VGG11_XS;100.0;100.0
9;0.6486;Cifar10;376;243;0.007820980733633041;VGG11_XXS;66.66666666666667;0.99
10;0.7676;Cifar10;376;320;0.0053514981985092165;VGG11_XXS;84.72222222222223;0.999
11;0.7816;Cifar10;376;376;0.00505327936410904;VGG11_XXS;100.0;100.0
12;0.562;Cifar10;188;135;0.009925829660892487;VGG11_XXXS;75.0;0.99
13;0.63;Cifar10;188;165;0.008529976505041122;VGG11_XXXS;87.15277777777777;0.999
14;0.6489;Cifar10;188;188;0.007971501934528351;VGG11_XXXS;100.0;100.0
15;0.8816;Cifar10;3200;943;0.0028173681631684304;VGG13;34.62358181818182;0.99
16;0.8922;Cifar10;3200;1782;0.002966412156820297;VGG13;62.35795454545453;0.999
17;0.889;Cifar10;3200;3200;0.0030280181869864462;VGG13;100.0;100.0
18;0.8259;Cifar10;1600;711;0.00407467080950737;VGG13_S;49.43182727272727;0.99
19;0.8783;Cifar10;1600;1076;0.0030999955132603647;VGG13_S;73.72159999999998;0.999
20;0.8782;Cifar10;1600;1600;0.003127059268951416;VGG13_S;100.0;100.0
21;0.6902;Cifar10;800;429;0.007209370219707489;VGG13_XS;59.161936363636364;0.99
22;0.8452;Cifar10;800;604;0.003619073051214218;VGG13_XS;80.46873636363637;0.999
23;0.8464;Cifar10;800;800;0.003618089358508587;VGG13_XS;100.0;100.0
24;0.7458;Cifar10;400;251;0.006129543441534042;VGG13_XXS;69.74431818181819;0.99
25;0.7846;Cifar10;400;331;0.0049900913953781125;VGG13_XXS;85.22727272727273;0.999
26;0.7889;Cifar10;400;400;0.004876788541674614;VGG13_XXS;100.0;100.0
27;0.5592;Cifar10;200;137;0.009874774527549743;VGG13_XXXS;75.0;0.99
28;0.6366;Cifar10;200;176;0.008114956325292588;VGG13_XXXS;88.63636363636364;0.999
29;0.6702;Cifar10;200;200;0.007447673827409744;VGG13_XXXS;100.0;100.0
30;0.7616;Cifar10;4480;857;0.005395242276787758;VGG16;27.873885714285716;0.99
31;0.9003;Cifar10;4480;1720;0.002987486267834902;VGG16;51.004464285714285;0.999
32;0.9007;Cifar10;4480;4480;0.0029810802295804025;VGG16;100.0;100.0
33;0.8349;Cifar10;2240;727;0.00443402387201786;VGG16_S;42.07589285714285;0.99
34;0.8747;Cifar10;2240;1215;0.00312119599878788;VGG16_S;64.22990714285716;0.999
35;0.8749;Cifar10;2240;2240;0.003141078168153763;VGG16_S;100.0;100.0
36;0.7871;Cifar10;1120;556;0.0052913254320621494;VGG16_XS;57.254464285714285;0.99
37;0.845;Cifar10;1120;773;0.0037418797329068186;VGG16_XS;76.06025714285715;0.999
38;0.8454;Cifar10;1120;1120;0.003708960124850273;VGG16_XS;100.0;100.0
39;0.7212;Cifar10;560;345;0.007355275666713714;VGG16_XXS;67.29910714285714;0.99
40;0.7824;Cifar10;560;444;0.005095898452401161;VGG16_XXS;82.14285714285714;0.999
41;0.7942;Cifar10;560;560;0.00476656790971756;VGG16_XXS;100.0;100.0
42;0.6119;Cifar10;280;199;0.009367591512203217;VGG16_XXXS;76.78571428571429;0.99
43;0.6445;Cifar10;280;242;0.007901424729824066;VGG16_XXXS;87.5;0.999
44;0.6804;Cifar10;280;280;0.0072787253677845005;VGG16_XXXS;100.0;100.0
45;0.5632;Cifar10;5760;798;0.009002646869421005;VGG19;22.472411764705882;0.99
46;0.8949;Cifar10;5760;1618;0.0029287707701325418;VGG19;42.532188235294115;0.999
47;0.8933;Cifar10;5760;5760;0.00309987513422966;VGG19;100.0;100.0
48;0.5089;Cifar10;2880;710;0.010429660665988922;VGG19_S;36.190252941176475;0.99
49;0.8796;Cifar10;2880;1230;0.002992412352561951;VGG19_S;56.15808823529411;0.999
50;0.8802;Cifar10;2880;2880;0.003129638336598873;VGG19_S;100.0;100.0
51;0.5573;Cifar10;1440;594;0.00830500573515892;VGG19_XS;51.378682352941176;0.99
52;0.827;Cifar10;1440;864;0.004128196933865547;VGG19_XS;69.66912352941176;0.999
53;0.8274;Cifar10;1440;1440;0.004229186263680458;VGG19_XS;100.0;100.0
54;0.6101;Cifar10;720;406;0.009722956204414367;VGG19_XXS;63.5110294117647;0.99
55;0.705;Cifar10;720;524;0.00715230615735054;VGG19_XXS;78.125;0.999
56;0.774;Cifar10;720;720;0.005478389862179757;VGG19_XXS;100.0;100.0
57;0.5306;Cifar10;360;239;0.0110651052236557;VGG19_XXXS;72.9779411764706;0.99
58;0.6474;Cifar10;360;294;0.008006315118074417;VGG19_XXXS;84.19117647058823;0.999
59;0.6604;Cifar10;360;360;0.007703960794210434;VGG19_XXXS;100.0;100.0
60;0.8569;Cifar10;3008;899;0.0033883563920855523;VGG11;30.40364444444445;0.99
61;0.8819;Cifar10;3008;1662;0.00324735921099782;VGG11;57.40018888888889;0.999
62;0.8738;Cifar10;3008;3008;0.003477653633058071;VGG11;100.0;100.0
63;0.827;Cifar10;1500;635;0.003888801011443138;VGG11_S;43.58121111111112;0.99
64;0.8689;Cifar10;1500;983;0.003243121986091137;VGG11_S;68.5502;0.999
65;0.8677;Cifar10;1500;1500;0.003301318845152855;VGG11_S;100.0;100.0
66;0.7398;Cifar10;752;393;0.00585679911673069;VGG11_XS;54.77431111111111;0.99
67;0.8253;Cifar10;752;571;0.004049465036392212;VGG11_XS;78.2118111111111;0.999
68;0.8222;Cifar10;752;752;0.004146043179929257;VGG11_XS;100.0;100.0
69;0.6933;Cifar10;376;234;0.006943009662628174;VGG11_XXS;64.75694444444444;0.99
70;0.7579;Cifar10;376;315;0.005600751304626465;VGG11_XXS;83.68055555555556;0.999
71;0.7671;Cifar10;376;376;0.005332907497882843;VGG11_XXS;100.0;100.0
72;0.5577;Cifar10;188;135;0.01004348499774933;VGG11_XXXS;75.34722222222223;0.99
73;0.5766;Cifar10;188;166;0.009204626899957657;VGG11_XXXS;87.84722222222223;0.999
74;0.6332;Cifar10;188;188;0.008057667064666749;VGG11_XXXS;100.0;100.0
75;0.8526;Cifar10;3200;932;0.0037148307740688326;VGG13;34.4993;0.99
76;0.8918;Cifar10;3200;1774;0.0032766009360551836;VGG13;62.18039090909092;0.999
77;0.8876;Cifar10;3200;3200;0.0034256183013319967;VGG13;100.0;100.0
78;0.8608;Cifar10;1600;703;0.003276844599843025;VGG13_S;49.64488181818183;0.99
79;0.881;Cifar10;1600;1073;0.003031175285577774;VGG13_S;74.00568181818183;0.999
80;0.8832;Cifar10;1600;1600;0.0030078418850898745;VGG13_S;100.0;100.0
81;0.8077;Cifar10;800;434;0.004490341439843178;VGG13_XS;60.79544545454546;0.99
82;0.8384;Cifar10;800;609;0.0039385403245687485;VGG13_XS;81.39204545454545;0.999
83;0.8365;Cifar10;800;800;0.003877177247405052;VGG13_XS;100.0;100.0
84;0.6958;Cifar10;400;259;0.0068873434662818905;VGG13_XXS;69.31818181818181;0.99
85;0.7624;Cifar10;400;339;0.005621191915869713;VGG13_XXS;85.36931818181819;0.999
86;0.7977;Cifar10;400;400;0.004742389222979546;VGG13_XXS;100.0;100.0
87;0.3017;Cifar10;200;143;0.015060237109661102;VGG13_XXXS;74.7159090909091;0.99
88;0.4082;Cifar10;200;177;0.014102139449119568;VGG13_XXXS;87.7840909090909;0.999
89;0.6699;Cifar10;200;200;0.007231447786092758;VGG13_XXXS;100.0;100.0
90;0.8352;Cifar10;4480;828;0.004528046011924743;VGG16;27.120535714285715;0.99
91;0.8919;Cifar10;4480;1672;0.0030100835010409355;VGG16;50.097642857142866;0.999
92;0.8923;Cifar10;4480;4480;0.0030615372061729433;VGG16;100.0;100.0
93;0.8164;Cifar10;2240;732;0.0049405134916305545;VGG16_S;41.768971428571426;0.99
94;0.8831;Cifar10;2240;1240;0.002998456537723541;VGG16_S;65.34598571428572;0.999
95;0.881;Cifar10;2240;2240;0.0030642473235726357;VGG16_S;100.0;100.0
